1404206723280,1,0
1404206723289,9,4,0
1404206723510,2,0
1404206723510,0,1,0
1404206723512,1,1,0
1404206723600,3,0
1404206723602,1,0,0
1404206724774,4,0
1404206724776,2,2,0
1404206730524,5,0
1404206730529,4,3,0
1404206739853,1,3,0
1404206741379,1,1,0
1404206748628,1,4,0
1404206759882,1,4,0
1404206771106,0,3,0
1404206780654,0,2,0
1404206789515,1,2,0
1404206790244,0,4,0
1404206790953,1,3,0
1404206799249,1,1,0
1404206802035,1,2,0
1404206817359,1,1,0
1404206821089,1,0,0
1404206826484,0,3,0
1404206831394,0,3,0
1404206858114,1,4,0
1404206868572,0,4,0
1404206870742,0,0,0
1404206876576,1,0,0
1404206879891,1,4,0
1404206890175,1,0,0
1404206921509,0,2,0
1404206932909,2,2,0
1404206958024,1,3,0
1404206995563,1,0,0
1404207014311,0,0,0
1404207032960,1,1,0
1404207038830,1,0,0
1404207052049,1,1,0
1404207054972,1,0,0
1404207105954,1,4,0
1404207109475,0,3,0
1404207113223,2,4,0
1404207136681,1,3,0
