1406715043599,1,0
1406715043599,2,1
1406715048133,3,2
1406715051316,4,3
1406715051371,5,4
1406715061601,6,5
1406715061729,7,6
1406715062700,8,7
1406715063886,9,8
1406715066415,10,9
1406715071686,11,10
1406715072984,12,11
1406715073332,13,12
1406715077617,14,13
1406715078366,15,14
1406715080077,16,15
1406715092339,17,16
1406715092721,18,17
1406715094529,19,18
1406715094839,20,19
1406715096345,21,20
1406715096454,22,21
1406715096789,23,22
1406715108030,24,23
1406715108141,25,24
1406715108664,21,3,0
1406715108665,0,2,0
1406715108665,0,8,0
1406715108666,0,0,0
1406715108666,0,4,0
1406715108666,0,9,0
1406715108667,0,6,0
1406715108667,0,1,0
1406715108667,0,5,0
1406715108668,0,7,0
1406715108668,0,16,0
1406715108669,0,11,0
1406715108669,0,13,0
1406715108670,0,10,0
1406715108671,0,12,0
1406715108671,0,19,0
1406715108673,0,14,0
1406715108674,1,15,0
1406715108674,0,17,0
1406715108674,0,26,0
1406715108675,0,22,0
1406715108675,0,21,0
1406715108676,1,18,0
1406715108676,0,20,0
1406715108676,0,25,0
1406715113944,26,0
1406715113944,0,28,0
1406715121047,27,0
1406715121048,0,29,0
1406715122322,28,0
1406715122322,0,23,0
1406715122322,0,23,0
1406715129263,29,0
1406715129263,0,24,0
1406715142600,0,29,0
1406715151516,30,0
1406715151516,0,27,0
1406715152126,31,0
1406715152126,0,32,0
1406715158403,32,0
1406715158404,1,30,0
1406715161495,0,0,0
1406715161650,0,4,0
1406715161929,33,0
1406715161929,0,34,0
1406715161929,0,34,0
1406715177327,34,0
1406715177327,0,31,0
1406715185252,0,26,0
1406715185681,0,23,0
1406715190485,35,0
1406715190485,0,33,0
1406715190485,0,33,0
1406715193978,0,16,0
1406715200912,0,24,0
1406715203013,0,32,0
1406715203344,0,29,0
1406715209337,0,1,0
1406715211193,0,19,0
1406715213021,0,7,0
1406715216143,0,26,0
1406715230130,0,30,0
1406715231871,0,0,0
1406715237303,0,5,1
1406715239835,0,4,0
1406715241710,0,29,0
1406715242646,0,3,0
1406715242682,0,21,0
1406715245350,0,34,0
1406715246003,0,23,0
1406715250903,0,17,0
1406715251800,0,12,0
1406715253440,0,28,0
1406715254607,0,27,0
1406715256468,0,0,0
1406715256505,0,11,0
1406715260384,0,30,0
1406715260859,0,32,0
1406715268469,0,14,0
1406715268836,0,22,0
1406715268845,0,0,0
1406715270080,0,9,0
1406715270700,0,20,0
1406715273579,0,25,0
1406715277104,0,10,0
1406715279267,0,18,0
1406715280971,0,24,0
1406715281617,0,9,0
1406715283761,0,2,0
1406715284292,0,17,0
1406715285309,0,26,1
1406715291969,0,18,0
1406715293069,0,13,0
1406715294873,0,3,0
1406715297346,0,17,0
1406715297662,0,9,0
1406715299299,0,0,0
1406715300623,0,27,0
1406715305570,0,6,0
1406715312392,0,29,0
1406715314296,0,24,0
1406715318744,0,10,0
1406715319115,0,32,0
1406715319540,0,26,0
1406715320370,0,2,0
1406715320743,0,18,0
1406715321630,0,4,0
1406715321853,0,17,0
1406715323119,0,3,0
1406715326246,0,8,0
1406715329152,0,30,0
1406715329223,0,32,0
1406715329404,0,16,0
1406715333330,0,27,0
1406715335501,0,14,0
1406715337516,0,7,0
1406715339705,0,17,0
1406715340626,0,9,0
1406715343190,0,29,0
1406715346945,0,21,0
1406715346960,0,17,0
1406715347077,0,12,0
1406715347449,0,26,0
1406715350957,0,34,0
1406715356145,1,2,0
1406715356272,0,6,1
1406715361536,0,24,0
1406715371521,0,8,0
1406715373248,0,25,0
1406715373730,0,6,0
1406715375030,0,17,0
1406715376292,0,18,0
1406715387023,0,16,0
1406715387325,0,15,0
1406715387680,0,9,0
1406715387889,0,8,0
1406715390372,0,2,0
1406715391294,0,24,0
1406715398805,0,29,0
1406715401178,0,31,0
1406715403497,0,27,0
1406715404918,0,26,0
1406715407026,0,2,0
1406715409213,0,32,0
1406715411257,0,21,0
1406715411470,0,7,0
1406715411925,0,14,0
1406715413365,0,3,0
1406715415487,0,1,0
1406715415530,0,0,1
1406715416315,0,8,0
1406715416484,0,17,0
1406715416625,0,16,0
1406715420487,0,30,0
1406715424497,0,15,0
1406715424875,0,23,0
1406715430334,0,4,0
1406715431402,0,33,0
1406715434356,0,31,0
1406715437076,0,29,0
1406715437442,0,23,0
1406715439933,0,26,0
1406715441249,0,18,0
1406715444487,0,27,0
1406715446721,0,6,0
1406715446803,0,8,0
1406715447726,0,29,0
1406715452455,0,28,0
1406715460582,0,19,0
1406715460928,0,5,0
1406715461078,0,24,0
1406715461612,0,3,0
1406715462409,0,1,0
1406715464866,0,21,0
1406715465134,0,15,0
1406715465323,0,33,0
1406715466913,0,14,0
1406715471810,0,32,0
1406715473706,0,13,0
1406715474938,0,19,0
1406715476976,0,26,0
1406715477464,0,30,0
1406715478415,0,24,0
1406715478815,0,11,0
1406715481420,0,21,0
1406715485765,0,7,0
1406715487265,0,28,0
1406715490046,0,30,0
1406715493542,0,5,0
1406715494078,0,16,0
1406715497036,0,9,0
1406715497530,0,13,0
1406715499243,0,18,0
1406715500450,0,20,0
1406715502306,0,19,0
1406715504171,0,16,0
1406715505960,0,29,0
1406715506012,0,23,0
1406715506740,0,13,0
1406715509285,0,5,0
1406715512528,0,14,0
1406715519298,0,22,0
1406715521492,0,21,0
1406715530251,0,22,0
1406715537374,0,13,0
1406715537576,0,11,0
1406715539608,0,34,0
1406715543507,0,17,0
1406715543621,0,6,0
1406715543755,0,2,0
1406715545653,0,18,0
1406715546003,0,4,0
1406715546230,0,26,0
1406715550060,0,1,0
1406715551908,0,15,0
1406715553719,0,30,0
1406715556267,0,9,0
1406715557044,0,10,0
1406715557292,0,24,0
1406715558868,0,28,0
1406715559713,0,8,0
1406715562390,0,25,0
1406715562993,0,29,0
1406715565029,1,5,0
1406715574667,0,24,0
1406715574812,0,7,0
1406715575569,0,16,0
1406715575595,0,34,0
1406715576191,0,25,0
1406715576959,0,14,0
1406715578783,0,2,0
1406715579374,0,1,0
1406715580913,0,32,0
1406715586148,0,11,0
1406715589536,0,20,0
1406715590659,0,13,0
1406715590991,0,21,0
1406715593181,0,10,0
1406715598317,0,26,0
1406715600193,0,28,0
1406715604390,0,21,0
1406715606843,0,4,0
1406715612782,0,26,0
1406715618812,0,24,0
1406715619207,0,22,0
1406715620518,0,31,0
1406715622066,0,25,0
1406715622174,0,32,0
1406715625401,0,0,0
1406715632972,0,24,0
1406715633279,0,27,0
1406715634325,0,1,0
1406715634783,0,29,0
1406715637249,0,9,0
1406715638241,0,20,0
1406715641887,0,13,0
1406715647097,0,16,0
1406715648977,1,11,0
1406715651189,0,12,0
1406715655741,0,26,0
1406715655964,0,31,0
1406715656022,0,25,0
1406715656396,0,4,0
1406715660011,0,22,0
1406715661931,0,21,1
1406715664364,0,15,0
1406715665116,0,9,0
1406715670493,0,30,0
1406715672185,0,10,0
1406715673147,0,5,0
1406715673245,0,32,0
1406715673556,0,3,0
1406715675410,0,16,0
1406715679431,0,34,0
1406715680463,0,12,0
1406715685646,0,27,0
1406715694652,0,9,0
1406715694941,0,31,0
1406715703423,0,3,0
1406715706093,0,22,0
1406715711074,0,13,0
1406715711251,0,9,0
1406715711726,0,27,0
1406715714218,0,19,0
1406715714804,0,1,0
1406715716478,0,33,0
1406715717837,0,23,0
1406715718591,0,24,0
1406715719058,0,4,0
1406715721139,0,14,0
1406715722936,0,5,0
1406715722943,0,31,0
1406715723012,0,17,0
1406715724489,0,28,0
1406715724614,0,6,0
1406715725559,0,22,0
1406715725907,0,26,0
1406715727465,0,20,0
1406715733781,0,14,0
1406715735492,0,8,0
1406715735779,0,13,0
1406715736487,0,16,0
1406715736968,0,27,0
1406715739087,0,3,0
1406715739388,0,18,0
1406715740351,0,15,0
1406715747134,0,34,0
1406715747472,0,1,0
1406715748831,0,3,0
1406715748861,0,18,0
1406715749607,0,25,0
1406715751474,0,15,0
1406715751678,0,21,0
1406715756099,0,7,0
1406715757231,0,33,0
1406715759439,0,9,0
1406715761776,0,6,0
1406715762635,0,0,0
1406715763393,0,34,0
1406715764270,0,10,0
1406715768483,0,29,0
1406715769150,0,5,0
1406715769729,0,7,0
1406715774395,0,28,0
1406715774683,0,33,0
1406715776855,0,9,0
1406715777861,0,4,0
1406715780822,0,20,0
1406715780995,0,0,0
1406715781847,0,19,0
1406715784876,0,23,0
1406715787553,0,32,0
1406715790427,0,14,0
1406715791274,0,20,0
1406715793070,0,17,0
1406715794380,0,21,0
1406715795029,0,2,0
1406715795377,0,15,0
1406715797004,0,0,0
1406715803253,0,22,0
1406715804837,0,14,0
1406715805533,0,13,0
1406715807406,0,18,0
1406715807460,0,17,0
1406715810072,0,6,0
1406715810154,0,3,0
1406715811241,0,12,0
1406715812579,0,16,0
1406715813635,0,23,0
1406715814908,0,11,0
1406715815725,0,32,0
1406715817610,0,29,0
1406715818809,0,24,0
1406715819528,0,7,0
1406715822329,0,27,0
1406715822487,0,33,0
1406715824317,0,10,0
1406715824625,0,26,0
1406715827179,0,30,1
1406715827401,0,11,0
1406715827439,0,31,0
1406715828449,0,19,0
1406715836546,0,14,0
1406715836601,1,28,0
1406715836867,0,1,0
1406715837399,0,25,0
1406715840349,0,34,0
1406715840807,0,21,0
1406715845304,0,15,0
1406715845673,0,9,0
1406715846480,0,8,0
1406715847228,0,13,0
1406715848163,0,5,0
1406715848299,0,3,0
1406715850767,0,6,0
1406715853449,0,17,0
1406715858040,1,18,0
1406715858435,0,9,1
1406715858766,0,5,0
1406715860631,0,12,0
1406715860870,0,2,0
1406715866057,0,17,0
1406715867511,0,14,0
1406715870087,0,19,0
1406715872385,0,22,0
1406715873781,0,34,0
1406715874591,0,6,0
1406715886233,0,15,0
1406715888006,0,29,0
1406715889893,0,20,0
1406715892254,0,33,0
1406715892471,0,23,0
1406715896522,0,28,0
1406715897868,0,5,0
1406715899047,0,30,0
1406715899783,0,17,0
1406715900919,0,20,0
1406715902016,0,4,0
1406715908007,0,16,0
1406715911568,0,10,0
1406715912083,0,21,0
1406715912703,0,20,0
1406715917981,0,26,0
1406715918163,0,6,0
1406715920449,0,24,0
1406715920661,0,2,0
1406715921543,0,13,0
1406715921608,0,12,0
1406715921893,0,8,0
1406715922530,0,27,0
1406715924053,0,19,0
1406715925851,0,29,0
1406715926044,0,9,0
1406715926099,0,34,0
1406715931608,0,8,0
1406715933155,0,16,0
1406715933617,0,7,0
1406715936227,0,15,0
1406715936517,0,10,0
1406715936648,0,3,0
1406715937105,0,18,0
1406715937749,0,23,0
1406715938344,0,25,0
1406715939557,0,28,0
1406715940439,0,11,0
1406715943595,0,14,0
1406715945964,0,1,0
1406715948507,0,5,0
1406715948668,0,0,0
1406715952953,0,4,0
1406715955527,0,32,0
1406715958452,0,30,1
1406715959531,0,27,0
1406715966121,0,17,0
1406715970683,0,31,0
1406715973604,0,21,0
1406715974277,0,7,0
1406715975220,0,24,0
1406715978970,0,22,0
1406715989430,0,24,0
1406715993003,0,4,0
1406715997087,0,33,0
1406715999347,0,29,0
1406716003487,0,6,0
1406716008925,0,26,0
1406716012566,0,11,0
1406716014307,0,19,0
1406716016590,0,10,0
1406716019140,0,7,0
1406716023935,0,8,0
1406716024038,0,16,0
1406716025335,0,15,0
1406716025404,0,23,0
1406716026188,0,18,0
1406716028582,0,20,0
1406716031303,0,2,0
