1406715042645,1,0
1406715042712,2,1
1406715052925,3,2
1406715063124,4,3
1406715066412,5,4
1406715066742,6,5
1406715067058,7,6
1406715068391,8,7
1406715070830,9,8
1406715070855,10,9
1406715072280,11,10
1406715076220,12,11
1406715078029,13,12
1406715078125,14,13
1406715081949,15,14
1406715093163,16,15
1406715093571,17,16
1406715095996,18,17
1406715096359,19,18
1406715104825,20,19
1406715105126,21,20
1406715110833,22,21
1406715112083,3,6,0
1406715112084,1,2,0
1406715112084,0,7,0
1406715112085,0,4,0
1406715112085,0,0,0
1406715112086,0,5,0
1406715112086,0,3,0
1406715112086,0,9,0
1406715112087,0,13,0
1406715112087,0,1,0
1406715112088,0,11,1
1406715112088,0,10,0
1406715112088,0,16,0
1406715112088,0,12,0
1406715112089,0,17,0
1406715112089,0,15,0
1406715112091,0,14,0
1406715112092,0,19,0
1406715112092,0,20,0
1406715112093,1,24,0
1406715112093,0,23,0
1406715112093,0,25,0
1406715113196,23,0
1406715113197,0,18,1
1406715113197,0,18,0
1406715116884,24,0
1406715116884,0,26,0
1406715119007,25,0
1406715119008,0,8,1
1406715122439,0,11,0
1406715122687,26,0
1406715122687,0,29,0
1406715122688,0,29,0
1406715124212,27,0
1406715124213,0,21,1
1406715125893,0,18,0
1406715128884,0,10,0
1406715129046,28,0
1406715129046,0,32,0
1406715129055,0,15,0
1406715131330,29,0
1406715131330,0,30,0
1406715145121,0,2,0
1406715147058,30,0
1406715147058,0,33,0
1406715155234,0,25,0
1406715155903,31,0
1406715155903,0,27,0
1406715156152,32,0
1406715156152,0,28,0
1406715156152,0,28,0
1406715156303,0,33,0
1406715157560,33,0
1406715157560,0,22,0
1406715157561,0,22,0
1406715158091,34,0
1406715158091,0,34,0
1406715158092,0,34,0
1406715161812,0,3,0
1406715166880,0,8,0
1406715171347,0,4,0
1406715171987,0,25,0
1406715175433,0,18,0
1406715180943,0,0,0
1406715183393,1,16,0
1406715185514,0,26,0
1406715185645,0,13,0
1406715190388,0,28,0
1406715190490,0,11,0
1406715192021,0,32,0
1406715192908,35,0
1406715192908,0,31,0
1406715192908,0,31,0
1406715193914,0,9,0
1406715195753,0,33,0
1406715195845,0,1,0
1406715196070,0,27,0
1406715198368,0,30,0
1406715198914,0,10,0
1406715199160,0,15,0
1406715204065,0,25,0
1406715210902,0,16,0
1406715211105,0,29,0
1406715211474,0,24,0
1406715213313,0,8,0
1406715215809,0,34,0
1406715223179,0,23,0
1406715229407,0,27,0
1406715235030,0,13,0
1406715238956,0,20,0
1406715238995,0,28,0
1406715239508,0,9,0
1406715242362,0,25,0
1406715243275,1,8,0
1406715244064,0,11,0
1406715244698,0,13,0
1406715246789,0,18,0
1406715247850,0,34,0
1406715250896,0,33,0
1406715252034,0,6,0
1406715255714,0,1,0
1406715255782,0,30,0
1406715260454,0,0,0
1406715261271,0,10,0
1406715261480,0,31,0
1406715262612,0,24,1
1406715262762,0,3,0
1406715263634,0,32,0
1406715263658,0,33,0
1406715264898,0,4,0
1406715268517,0,30,0
1406715271987,0,11,0
1406715273928,0,25,0
1406715273960,0,21,0
1406715277936,0,16,0
1406715281707,0,5,0
1406715281841,0,28,0
1406715281885,0,26,0
1406715283315,0,7,0
1406715283351,0,14,0
1406715285917,0,19,0
1406715287502,0,27,0
1406715288505,0,1,0
1406715292436,0,9,0
1406715297812,0,19,0
1406715299825,0,12,0
1406715308626,0,19,0
1406715310723,0,9,0
1406715312635,0,0,0
1406715312668,0,7,0
1406715313432,0,16,0
1406715316871,0,32,0
1406715321767,0,14,0
1406715326083,0,28,0
1406715326886,0,34,0
1406715330882,0,25,0
1406715335492,0,1,1
1406715346722,0,7,0
1406715347001,0,6,0
1406715347100,0,30,0
1406715347227,0,20,0
1406715350494,0,13,0
1406715351718,0,27,0
1406715359439,0,17,0
1406715361852,0,19,0
1406715361903,0,12,0
1406715364144,0,20,0
1406715366193,0,33,0
1406715366231,0,2,0
1406715373626,0,25,0
1406715377761,0,32,0
1406715380407,0,31,1
1406715382796,0,16,0
1406715384072,0,0,0
1406715384627,0,7,0
1406715386856,1,1,0
1406715388418,0,25,1
1406715390378,0,24,0
1406715390975,0,17,0
1406715396574,0,16,0
1406715398115,0,19,0
1406715398319,0,11,0
1406715400512,0,28,0
1406715401655,0,8,0
1406715403887,0,23,0
1406715406545,0,17,0
1406715409482,0,9,0
1406715409511,0,16,0
1406715410577,0,13,0
1406715410885,0,22,0
1406715411581,0,20,0
1406715411967,0,32,0
1406715413811,0,34,0
1406715414444,0,12,0
1406715415584,0,18,0
1406715418580,0,14,0
1406715422257,0,15,0
1406715426674,0,1,0
1406715428392,0,24,1
1406715436084,0,26,0
1406715439152,0,24,0
1406715440492,0,16,0
1406715442406,1,28,0
1406715444603,0,33,0
1406715444843,0,19,0
1406715448034,0,17,0
1406715451357,0,24,0
1406715452725,0,29,0
1406715453175,0,12,0
1406715455363,0,0,0
1406715455994,0,7,0
1406715456756,0,14,0
1406715462272,0,23,0
1406715463726,0,25,0
1406715465066,0,9,0
1406715466071,0,12,0
1406715466698,0,20,0
1406715468090,0,13,0
1406715469762,0,4,1
1406715477386,0,21,0
1406715482386,0,10,0
1406715482744,0,22,0
1406715485111,0,3,0
1406715486200,0,21,0
1406715489427,0,17,0
1406715491804,0,1,0
1406715492121,0,19,0
1406715499302,0,23,0
1406715500731,0,17,0
1406715502666,0,5,0
1406715502959,0,20,0
1406715505180,0,24,0
1406715507016,0,1,0
1406715508378,0,16,0
1406715508508,0,14,0
1406715510342,0,7,0
1406715511592,0,23,0
1406715517280,0,24,0
1406715518381,0,16,0
1406715521402,0,14,0
1406715524406,0,29,0
1406715534471,0,2,0
1406715536475,0,5,0
1406715539026,0,3,0
1406715539890,0,15,0
1406715540596,0,4,0
1406715541895,0,13,0
1406715543452,1,17,0
1406715543776,0,28,0
1406715543941,0,25,0
1406715544015,0,10,0
1406715549812,0,5,0
1406715552186,0,12,0
1406715552674,0,27,0
1406715553827,0,21,0
1406715558164,0,32,0
1406715558726,0,19,0
1406715558935,0,17,0
1406715559841,0,30,0
1406715561546,0,16,0
1406715567417,0,13,0
1406715567883,0,23,0
1406715567918,0,20,0
1406715572129,0,22,0
1406715573816,0,1,0
1406715574796,0,17,0
1406715578092,0,29,1
1406715579943,0,25,0
1406715580995,0,13,0
1406715584815,0,7,0
1406715590377,0,4,0
1406715592255,0,8,0
1406715592698,0,18,0
1406715595404,0,6,0
1406715598241,0,13,0
1406715599471,0,19,0
1406715599488,0,21,0
1406715599523,0,30,0
1406715603463,0,23,0
1406715604798,0,8,0
1406715613464,0,7,0
1406715617300,0,17,0
1406715617970,0,0,0
1406715618213,0,14,0
1406715619308,0,34,0
1406715623132,0,27,0
1406715627320,0,24,0
1406715628510,1,29,0
1406715629498,0,1,0
1406715629898,0,6,0
1406715630042,0,16,0
1406715630304,0,3,0
1406715630579,0,22,0
1406715630875,0,34,0
1406715630944,0,26,0
1406715631761,0,11,0
1406715632250,0,20,0
1406715633263,0,21,0
1406715636978,0,10,0
1406715641475,0,23,0
1406715641856,0,1,0
1406715646577,0,31,0
1406715646849,0,33,0
1406715650679,0,30,0
1406715652617,0,34,0
1406715654414,0,1,0
1406715656818,0,16,0
1406715660140,0,5,0
1406715662336,0,34,0
1406715663537,0,14,0
1406715666428,0,8,0
1406715666745,0,22,0
1406715669190,0,29,0
1406715670917,0,13,0
1406715671118,0,7,0
1406715678090,0,20,0
1406715683575,0,1,0
1406715695543,0,12,1
1406715698417,0,24,0
1406715698671,1,9,0
1406715698752,0,15,1
1406715700603,0,27,0
1406715701427,0,5,0
1406715702240,0,7,0
1406715709211,0,4,0
1406715710076,0,3,0
1406715712134,0,2,0
1406715718572,0,17,0
1406715719636,1,6,0
1406715720767,0,16,0
1406715721591,0,34,0
1406715721891,0,7,0
1406715722606,0,11,0
1406715723715,1,10,0
1406715728401,1,32,0
1406715730197,0,22,0
1406715733322,0,13,0
1406715734192,0,12,1
1406715736138,0,5,0
1406715736858,1,9,0
1406715740283,0,18,0
1406715742207,0,33,0
1406715743105,0,16,0
1406715743658,0,32,1
1406715744482,0,27,0
1406715745746,0,23,0
1406715748244,0,2,0
1406715749197,0,15,0
1406715749827,0,9,0
1406715750517,0,33,0
1406715751708,0,20,0
1406715754594,0,16,0
1406715755203,0,32,0
1406715756651,0,27,0
1406715757811,0,23,0
1406715758670,0,29,0
1406715761411,0,26,0
1406715762296,0,17,0
1406715763014,0,15,0
1406715763337,0,1,0
1406715763375,0,21,0
1406715763593,0,31,0
1406715764581,0,25,0
1406715768032,0,4,0
1406715769471,0,10,0
1406715770394,0,3,0
1406715770983,0,34,0
1406715773479,0,6,0
1406715774859,0,14,0
1406715775200,0,0,0
1406715780255,0,7,0
1406715783886,0,12,0
1406715784072,0,25,0
1406715785024,0,8,0
1406715789201,0,23,0
1406715791439,0,2,0
1406715792045,0,7,0
1406715796056,0,30,0
1406715798409,0,8,0
1406715799343,0,5,0
1406715802555,0,28,0
1406715804599,0,13,0
1406715805476,0,11,0
1406715806096,0,16,0
1406715808451,0,19,0
1406715808676,0,9,0
1406715809100,0,22,0
1406715809263,0,7,0
1406715811695,0,2,0
1406715812308,0,1,0
1406715814080,0,16,0
1406715815046,0,15,0
1406715816108,0,12,0
1406715817164,0,14,0
1406715818009,0,3,0
1406715822278,0,31,0
1406715824057,0,26,0
1406715831072,1,12,0
1406715835706,0,32,0
1406715838758,0,8,0
1406715841582,0,4,0
1406715842062,0,5,0
1406715842995,0,23,0
1406715844051,0,29,0
1406715844080,0,34,0
1406715844198,0,20,0
1406715844431,0,32,0
1406715844900,0,11,0
1406715845753,0,17,0
1406715847413,0,30,0
1406715847546,0,25,0
1406715847920,0,1,0
1406715850345,0,3,0
1406715852335,0,21,0
1406715858552,0,32,0
1406715861317,0,33,0
1406715864097,0,10,0
1406715866726,0,15,0
1406715867972,0,7,0
1406715871370,0,24,0
1406715871641,0,25,0
1406715874881,0,0,0
1406715875647,0,2,0
1406715877298,0,22,0
1406715886015,0,31,0
1406715887445,0,12,0
1406715887604,0,29,0
1406715893446,0,1,0
1406715893864,0,6,0
1406715895187,0,25,0
1406715896091,0,8,0
1406715896097,0,3,0
1406715897184,0,10,0
1406715898097,0,33,0
1406715898724,0,28,0
1406715898914,0,20,0
1406715901854,0,19,0
1406715904678,0,26,0
1406715905387,0,13,0
1406715909973,0,5,0
1406715910275,0,28,0
1406715910703,0,23,0
1406715913400,0,16,0
1406715915502,0,9,0
1406715918046,0,27,0
1406715920503,0,4,0
1406715920942,0,34,0
1406715923338,0,21,0
1406715923629,0,11,0
1406715924707,0,15,0
1406715926077,0,14,0
1406715926773,0,7,0
1406715928534,0,24,0
1406715933897,0,22,0
1406715936414,0,12,0
1406715938534,0,18,0
1406715943253,0,5,0
1406715943542,0,0,0
1406715948723,0,17,0
1406715949074,0,15,0
1406715952406,0,11,0
1406715952445,0,30,0
1406715953384,0,33,0
1406715953487,0,32,0
1406715956063,0,9,0
1406715959830,0,23,0
1406715962512,0,1,0
1406715963158,0,16,0
1406715965801,0,7,0
1406715974488,0,31,0
1406715975345,0,23,0
1406715981970,1,25,0
1406715983255,0,20,0
1406715983734,0,19,0
1406715985233,0,21,0
1406715988554,0,2,0
1406715988563,0,4,0
1406715993692,0,28,0
1406715996274,0,27,0
1406715997633,0,6,0
1406715999564,0,8,0
1406716012118,0,3,0
1406716012626,0,6,0
1406716015615,0,12,0
1406716016767,0,5,0
1406716019177,0,3,0
1406716022929,0,10,1
1406716024019,0,25,0
1406716024573,0,15,0
1406716029190,1,29,0
1406716029336,0,31,0
1406716030441,0,7,0
1406716031451,0,24,0
1406716034420,0,32,0
1406716036040,0,34,0
1406716041618,0,30,0
1406716045780,0,17,0
1406716047216,0,5,0
1406716049850,0,1,0
1406716050229,0,23,0
1406716052040,0,13,0
1406716052411,0,11,0
1406716053024,0,14,0
1406716053753,0,21,0
1406716053986,0,30,0
1406716057533,0,4,0
1406716057988,0,12,0
1406716058769,0,2,0
1406716060571,0,19,0
1406716062103,0,26,0
1406716062561,0,33,0
1406716063799,0,0,0
1406716064283,0,16,0
1406716065684,0,3,0
1406716066413,0,21,0
1406716066608,0,32,0
1406716067958,0,25,0
1406716068259,0,24,0
1406716072409,0,6,0
1406716074499,0,31,0
1406716074855,0,26,0
1406716077042,0,10,0
1406716077634,0,27,0
1406716080004,0,23,0
1406716082262,0,15,0
1406716083426,0,7,0
1406716084572,0,34,0
1406716085534,0,30,0
1406716090030,0,17,0
1406716090043,0,26,0
1406716094861,0,22,0
1406716094994,0,14,0
1406716101533,0,20,0
1406716105346,0,17,0
1406716106921,0,6,0
1406716107287,0,9,0
1406716107416,0,28,0
1406716108138,0,4,0
1406716120163,0,0,0
1406716123368,0,4,0
1406716125579,0,2,0
1406716126358,0,11,0
1406716127096,0,1,0
1406716129124,0,8,0
1406716130065,0,29,0
1406716130477,0,34,0
1406716131372,0,5,0
1406716133068,0,30,0
1406716136217,0,22,0
1406716136557,0,18,0
1406716136854,0,7,0
1406716137993,0,21,0
1406716142360,0,10,0
1406716146786,0,32,0
1406716150622,0,19,0
1406716155859,0,10,0
1406716156470,0,15,0
1406716156532,0,14,0
1406716156540,0,23,0
1406716157676,0,26,0
1406716160757,0,32,0
1406716164044,0,33,0
1406716166197,0,11,0
1406716166543,0,19,0
1406716168352,0,12,0
1406716175092,0,5,0
1406716175337,0,2,0
1406716180916,0,11,0
1406716183230,0,0,0
1406716192602,0,4,0
1406716194866,0,27,0
1406716196359,0,31,0
1406716201284,0,16,0
1406716201620,0,14,0
1406716201660,0,13,0
1406716204728,0,22,0
1406716205082,0,3,0
1406716206056,0,8,0
1406716206091,0,7,0
1406716206285,0,11,0
1406716208284,0,19,0
1406716209438,0,6,0
1406716209540,0,30,0
1406716209994,0,18,0
1406716219013,0,24,0
1406716234777,0,23,0
1406716235962,0,0,0
1406716240899,0,33,0
1406716241491,0,19,0
1406716241586,0,32,0
1406716241776,0,1,0
1406716245922,0,14,0
1406716250152,0,28,0
1406716250942,0,13,0
1406716251491,0,29,0
1406716255414,0,2,0
1406716258290,1,9,0
1406716261588,0,10,0
1406716264065,0,4,0
1406716276778,0,15,0
1406716280343,0,34,0
1406716283753,0,21,0
1406716294114,0,17,0
1406716295550,0,25,0
1406716297221,0,26,0
1406716298016,0,0,0
1406716299519,0,7,0
1406716299557,0,26,0
1406716302501,0,3,0
1406716303515,0,14,0
1406716305894,0,33,0
1406716308161,0,11,0
1406716309624,0,8,0
1406716317254,0,0,0
1406716324253,0,24,0
1406716327073,0,19,0
1406716328017,0,11,0
1406716336521,0,8,0
1406716338809,0,1,0
1406716341332,0,25,0
1406716355482,0,12,0
1406716360047,0,20,0
1406716360143,0,0,0
1406716362848,0,34,0
1406716363540,0,14,0
1406716366444,0,19,0
1406716366557,0,12,0
1406716366890,0,25,0
1406716368917,0,3,0
1406716376968,0,29,0
1406716378799,0,21,0
1406716387509,0,31,0
1406716392473,0,34,0
1406716399769,0,25,0
1406716407018,0,33,0
1406716408417,0,6,0
1406716415084,0,31,0
1406716417908,0,30,0
1406716419417,0,6,0
1406716420420,0,8,0
1406716421521,0,3,0
1406716425880,0,23,0
1406716426707,0,32,0
1406716429566,0,24,0
1406716433926,0,1,0
1406716434060,0,31,0
1406716435686,0,33,0
1406716438902,0,8,0
1406716446923,0,5,0
1406716447554,0,25,0
1406716452812,0,31,0
1406716455997,0,10,0
1406716456131,0,5,0
1406716459890,0,34,0
1406716461926,0,7,0
1406716463116,1,4,0
1406716464759,0,0,0
1406716464866,0,33,0
